2.823,506
2.181,513
2.682,491
1.800,489
2.782,476
2.124,538
2.501,502
2.185,508
2.251,489
2.151,549
2.792,487
3.386,568
4.245,514
1.937,482
3.218,427
1.703,574
2.793,566
1.065,484
2.179,546
2.616,440
2.046,434
1.659,409
1.316,506
2.357,509
2.513,468
3.256,399
2.233,474
2.086,542
3.292,524
1.851,479
2.628,519
2.411,494
2.155,528
1.243,483
3.461,461
4.561,493
2.101,473
2.002,503
3.366,497
2.502,484
2.847,524
2.470,546
2.383,552
2.163,511
3.192,517
3.223,528
3.490,503
3.603,534
0.584,582
2.429,556
2.504,454
1.838,558
4.130,480
1.389,538
2.167,456
2.530,520
2.699,488
1.513,492
3.210,558
3.695,456
2.181,516
3.453,490
1.511,434
2.284,511
3.280,556
1.552,582
2.361,360
2.168,462
2.549,488
0.895,486
2.067,497
1.495,499
1.349,577
2.158,533
1.961,498
2.147,545
2.803,492
2.674,531
4.183,496
2.855,560
3.101,522
1.962,552
3.815,460
1.127,481
1.211,508
2.604,462
3.022,443
1.700,504
2.653,558
3.297,550
3.635,447
1.777,463
2.363,475
4.006,532
1.731,556
1.837,522
2.593,454
2.535,407
3.428,624
3.265,519
0.996,499
2.965,556
1.276,582
2.952,527
2.800,460
2.745,494
2.208,515
0.660,442
1.978,564
2.414,553
1.955,483
2.155,445
3.032,477
2.987,491
3.666,509
2.407,443
5.234,547
3.519,578
2.939,477
3.086,457
3.850,438
2.600,459
0.523,431
2.160,544
2.391,483
2.490,530
1.773,526
1.767,463
2.626,513
1.157,486
3.872,457
1.978,594
1.862,508
3.224,529
1.878,488
3.141,611
4.225,548
1.321,549
3.297,541
2.563,446
1.922,545
2.689,532
2.512,513
2.764,489
2.607,496
1.941,447
4.341,530
2.302,397
1.890,516
2.653,522
1.792,418
2.543,511
2.203,522
2.589,534
2.053,454
1.761,481
3.433,493
2.922,507
2.292,390
3.124,539
3.157,451
3.465,506
2.366,533
2.849,490
3.142,426
1.908,475
3.532,536
2.987,492
3.138,540
2.549,495
2.582,479
2.941,505
0.685,530
2.352,485
3.015,545
3.502,539
1.235,596
3.125,416
2.579,552
2.336,480
3.211,502
1.358,551
2.609,484
4.172,544
2.402,525
2.871,415
1.419,447
3.496,424
2.430,552
3.262,495
1.412,431
3.277,452
1.781,561
3.243,500
2.564,427
3.618,538
1.831,465
3.353,541
2.485,466
2.297,485
2.683,236
2.600,167
4.043,127
2.584,207
2.341,132
3.350,165
2.626,162
4.940,302
2.060,180
2.714,190
3.003,210
2.993,230
1.886,166
2.167,193
0.643,176
1.897,262
1.732,148
2.088,163
2.529,217
2.745,212
2.645,124
3.100,124
1.838,246
2.659,180
2.980,200
3.597,163
3.431,256
2.751,228
3.215,272
2.621,187
3.725,210
1.788,232
1.933,161
2.729,231
1.497,159
2.421,207
2.851,225
3.217,189
1.766,200
3.338,146
3.088,248
1.079,173
3.349,220
2.835,248
2.806,161
1.849,191
3.811,172
2.675,206
1.910,192
3.530,211
3.059,247
3.402,236
3.153,139
3.217,162
2.277,221
1.464,109
2.321,184
2.887,206
2.623,179
2.247,149
2.017,231
2.440,241
2.846,244
2.030,157
4.091,195
3.235,165
3.229,253
3.389,181
1.521,216
1.583,146
1.831,204
2.779,158
2.157,173
1.626,187
1.448,163
2.275,220
1.843,237
1.825,202
2.115,211
3.311,235
3.320,223
3.322,192
2.225,133
1.647,203
2.613,255
1.875,194
3.415,178
1.193,243
2.656,94
2.080,239
2.604,264
3.078,148
2.406,178
2.852,191
2.649,177
2.047,139
2.887,246
2.511,298
3.320,304
2.428,199
2.863,230
2.056,148
2.616,241
2.960,163
2.083,251
3.215,153
3.252,194
2.694,201
3.157,193
2.829,95
1.501,182
1.453,175
2.973,144
2.409,191
3.035,231
3.034,130
1.297,233
1.914,247
3.730,270
2.125,227
2.928,211
3.356,214
2.598,199
1.772,203
2.428,186
2.745,234
2.155,236
1.799,202
1.454,273
2.932,218
2.263,164
3.016,274
1.610,227
3.918,156
1.797,216
2.720,203
4.061,162
1.466,247
2.423,161
3.381,221
3.050,229
2.319,199
2.662,231
2.383,178
1.977,176
1.130,182
1.501,149
2.636,228
2.010,204
2.039,264
2.763,243
2.022,249
1.005,220
1.073,234
3.115,219
2.188,203
3.434,144
1.832,234
1.999,194
3.511,221
2.688,158
1.761,165
2.574,175
0.983,188
1.508,232
3.099,219
3.223,217
2.247,184
3.034,254
3.753,274
2.717,160
2.796,226
2.645,273
2.230,250
3.840,224
3.581,170
2.378,194
2.843,230
2.290,179
3.007,207
2.332,813
3.139,777
3.240,828
3.473,818
2.091,765
3.083,849
3.068,859
1.503,767
3.433,785
2.222,839
1.250,747
2.813,822
2.453,729
0.391,795
1.069,749
2.779,846
2.664,884
2.937,823
2.556,806
2.310,744
2.251,774
2.170,777
1.357,738
2.782,799
2.397,851
2.318,903
1.033,723
3.602,803
3.207,825
2.766,797
1.690,810
1.945,813
2.567,743
2.898,828
1.416,824
1.918,806
2.236,756
1.691,862
2.579,837
2.979,786
2.225,792
3.605,803
1.961,831
2.167,816
2.950,854
2.705,842
3.253,854
1.409,780
1.886,816
2.452,852
3.463,708
1.637,838
2.471,796
4.267,745
2.645,853
3.033,844
1.459,821
2.028,856
2.136,770
2.732,798
2.871,803
2.394,846
2.008,749
2.965,841
2.762,828
1.854,826
1.963,828
3.563,789
2.329,819
2.634,868
3.094,799
3.059,820
3.051,792
2.586,750
2.301,801
2.553,844
2.207,808
0.967,803
1.793,761
2.922,692
2.811,819
4.258,812
3.281,821
1.525,806
2.085,889
2.186,835
2.176,780
1.557,747
3.528,813
3.223,762
2.076,875
2.300,848
2.218,813
3.483,880
1.329,725
3.090,826
3.596,823
1.693,849
1.570,777
1.629,840
2.496,741
2.719,823
2.660,721
2.264,838
1.581,819
2.684,834
3.319,775
2.554,769
2.028,772
2.146,788
2.244,800
3.171,842
2.437,740
1.860,828
2.652,834
2.627,827
2.754,785
2.506,821
1.902,780
2.487,709
4.211,841
1.585,765
3.906,740
2.241,773
2.917,772
2.700,838
1.083,766
1.913,791
2.798,690
2.031,728
1.947,816
1.796,850
2.332,794
2.556,742
2.842,687
2.471,792
4.123,810
2.736,805
2.433,782
2.266,822
2.484,825
2.504,808
2.943,811
2.317,819
3.385,885
2.453,747
2.252,774
1.811,820
2.152,768
3.479,740
2.979,834
1.230,784
2.817,821
3.228,869
2.403,855
2.924,816
2.217,764
1.564,862
2.607,889
2.752,801
2.459,767
2.649,739
2.011,760
2.541,878
3.692,759
2.690,841
3.686,816
2.815,806
3.064,776
1.426,790
2.479,794
1.516,781
3.597,784
3.496,881
3.065,759
1.841,763
2.043,725
4.025,836
1.176,826
2.373,846
0.956,588
1.140,436
1.320,546
1.789,639
0.641,448
0.715,471
0.948,370
1.422,443
1.358,442
0.936,538
1.093,585
0.930,524
1.214,468
0.510,556
0.819,569
1.535,451
0.841,620
0.454,446
0.971,471
0.911,470
1.165,478
0.789,441
1.766,468
0.891,606
1.474,542
1.491,381
0.817,544
0.870,453
1.021,665
0.878,491
0.619,491
1.079,416
0.942,615
0.838,585
1.033,522
1.121,588
0.394,492
1.173,528
1.328,527
1.090,646
1.263,407
1.473,503
1.634,504
0.773,513
0.903,548
1.130,494
1.874,397
1.213,471
1.234,454
1.121,472
1.843,488
0.979,387
0.766,482
0.765,509
1.087,468
1.627,621
0.524,475
0.528,484
1.162,509
0.554,514
1.451,357
1.251,438
1.174,557
0.911,501
0.580,331
0.959,626
0.579,556
0.978,421
